X,Y,MNRF_District,Stocking_Year,Species,Official_Waterbody_Name,Official_French_Waterbody_Name,Unoffcial_Waterbody_Name,Waterbody_Location_Identifier,Geographic_Township,Developmental_Stage,Number_of_Fish_Stocked,Latitude,Longitude,ObjectId
-8662882.77353255,5679959.71300799,Bancroft District,2015,Brook Trout,Hicks Lake,lac Hicks,,18-2788-50282,BANGOR,Yearlings,2000,45.37,-77.82,142
-8552676.47764721,5637278.20189053,Bancroft District,2015,Brook Trout,Hungry Lake,lac Hungry,,18-3558-49957,SOUTH CANONTO,Yearlings,400,45.1,-76.83,143
-8597204.27396452,5657803.24745032,Bancroft District,2015,Brook Trout,Hydes Creek,ruisseau Hydes,,18-3247-50111,LYNDOCH,Yearlings,1500,45.23,-77.23,144
-8666222.35825635,5683129.39541701,Bancroft District,2015,Brook Trout,Inright Lake,lac Inright,,18-2764-50301,WICKLOW,Yearlings,700,45.39,-77.85,145
-8753051.5610751,5654642.49704846,Bancroft District,2015,Brook Trout,Kennisis Lake,lac Kennisis,,17-6858-50095,HAVELOCK,Yearlings,2500,45.21,-78.63,146
-8753051.5610751,5654642.49704846,Bancroft District,2015,Brook Trout,Kennisis Lake,lac Kennisis,,17-6858-50095,HAVELOCK,Yearlings,4500,45.21,-78.63,147
-8753051.5610751,5654642.49704846,Bancroft District,2015,Brook Trout,Kennisis Lake,lac Kennisis,,17-6858-50095,HAVELOCK,Yearlings,1477,45.21,-78.63,148
-8601657.05359625,5621521.48619207,Bancroft District,2015,Brook Trout,Kilpecker Creek,ruisseau Kilpecker,,18-3200-49854,EFFINGHAM,Yearlings,500,45,-77.27,149
-8688486.256415,5651482.85787879,Bancroft District,2015,Brook Trout,Leather Root Lake,lac Leather Root,,17-7314-50083,HERSCHEL,Yearlings,1000,45.19,-78.05,150
-8646184.84991356,5667292.17772957,Bancroft District,2015,Brook Trout,Lennon Lake,lac Lennon,,18-2901-50195,CARLOW,Yearlings,1100,45.29,-77.67,151
-8608336.22304384,5640432.85492059,Bancroft District,2015,Brook Trout,Little Birch Lake,petit lac Birch,,18-3165-49989,DENBIGH,Yearlings,1200,45.12,-77.33,152
-8632826.51101837,5621521.48619207,Bancroft District,2015,Brook Trout,Little Birch Lake,lac Little Birch,,18-2988-49862,CASHEL,Yearlings,700,45,-77.55,153
-8608336.22304384,5637278.20189053,Bancroft District,2015,Brook Trout,Little Fox Lake,petit lac Fox,,18-3164-49966,ASHBY,Yearlings,400,45.1,-77.33,154
-8710750.15457366,5610508.14239838,Bancroft District,2015,Brook Trout,Lowry Lake,lac Lowry,,17-7169-49787,MONMOUTH,Yearlings,1300,44.93,-78.25,155
-8593864.68924072,5651482.85787879,Bancroft District,2015,Brook Trout,Marshall Lake,lac Marshall,,18-3265-50071,DENBIGH,Yearlings,850,45.19,-77.2,156
-8636166.09574216,5612080.65479429,Bancroft District,2015,Brook Trout,Mawson Lake,lac Mawson,,18-2960-49794,CASHEL,Yearlings,200,44.94,-77.58,157
-8658429.99390082,5675207.2901755,Bancroft District,2015,Brook Trout,McCormick Lake,lac McCormick,,18-2821-50244,BANGOR,Yearlings,650,45.34,-77.78,158
-8695165.4258626,5703759.72761358,Bancroft District,2015,Brook Trout,McFee Lake,lac McFee,,17-7252-50442,AIRY,Yearlings,1800,45.52,-78.11,159
-8697391.81567846,5711707.15978709,Bancroft District,2015,Brook Trout,Moonbeam Lake,lac Moonbeam,,17-7237-50498,AIRY,Yearlings,1000,45.57,-78.13,160
-8551563.28273927,5649903.45464165,Bancroft District,2015,Brook Trout,Mousseau Lake,lac Mousseau,,18-3565-50052,NORTH CANONTO,Yearlings,1100,45.18,-76.82,161
